date,county,state,fips,cases,deaths
2020-03-06,Fayette,Kentucky,21067,1,0
2020-03-07,Fayette,Kentucky,21067,1,0
2020-03-08,Fayette,Kentucky,21067,2,0
2020-03-08,Harrison,Kentucky,21097,1,0
2020-03-08,Jefferson,Kentucky,21111,1,0
2020-03-09,Fayette,Kentucky,21067,3,0
2020-03-09,Harrison,Kentucky,21097,1,0
2020-03-09,Jefferson,Kentucky,21111,1,0
2020-03-10,Fayette,Kentucky,21067,3,0
2020-03-10,Harrison,Kentucky,21097,3,0
2020-03-10,Jefferson,Kentucky,21111,1,0
2020-03-11,Fayette,Kentucky,21067,3,0
2020-03-11,Harrison,Kentucky,21097,3,0
2020-03-11,Jefferson,Kentucky,21111,1,0
2020-03-12,Fayette,Kentucky,21067,4,0
2020-03-12,Harrison,Kentucky,21097,4,0
2020-03-12,Jefferson,Kentucky,21111,2,0
2020-03-12,Montgomery,Kentucky,21173,1,0
2020-03-13,Fayette,Kentucky,21067,4,0
2020-03-13,Harrison,Kentucky,21097,4,0
2020-03-13,Jefferson,Kentucky,21111,2,0
2020-03-13,Montgomery,Kentucky,21173,1,0
2020-03-14,Bourbon,Kentucky,21017,1,0
2020-03-14,Fayette,Kentucky,21067,5,0
2020-03-14,Harrison,Kentucky,21097,6,0
2020-03-14,Jefferson,Kentucky,21111,4,0
2020-03-14,Montgomery,Kentucky,21173,1,0
2020-03-14,Nelson,Kentucky,21179,1,0
2020-03-15,Bourbon,Kentucky,21017,1,0
2020-03-15,Clark,Kentucky,21049,1,0
2020-03-15,Fayette,Kentucky,21067,5,0
2020-03-15,Harrison,Kentucky,21097,6,0
2020-03-15,Jefferson,Kentucky,21111,6,0
2020-03-15,Montgomery,Kentucky,21173,1,0
2020-03-15,Nelson,Kentucky,21179,1,0
2020-03-16,Bourbon,Kentucky,21017,1,1
2020-03-16,Clark,Kentucky,21049,1,0
2020-03-16,Fayette,Kentucky,21067,5,0
2020-03-16,Harrison,Kentucky,21097,6,0
2020-03-16,Jefferson,Kentucky,21111,7,0
2020-03-16,Montgomery,Kentucky,21173,1,0
2020-03-16,Nelson,Kentucky,21179,1,0
2020-03-17,Bourbon,Kentucky,21017,1,1
2020-03-17,Clark,Kentucky,21049,1,0
2020-03-17,Fayette,Kentucky,21067,5,0
2020-03-17,Harrison,Kentucky,21097,6,0
2020-03-17,Jefferson,Kentucky,21111,9,0
2020-03-17,Lyon,Kentucky,21143,1,0
2020-03-17,Montgomery,Kentucky,21173,2,0
2020-03-17,Nelson,Kentucky,21179,1,0
2020-03-18,Bourbon,Kentucky,21017,2,1
2020-03-18,Clark,Kentucky,21049,2,0
2020-03-18,Fayette,Kentucky,21067,6,0
2020-03-18,Franklin,Kentucky,21073,1,0
2020-03-18,Harrison,Kentucky,21097,7,0
2020-03-18,Jefferson,Kentucky,21111,11,0
2020-03-18,Kenton,Kentucky,21117,1,0
2020-03-18,Lyon,Kentucky,21143,1,0
2020-03-18,Montgomery,Kentucky,21173,2,0
2020-03-18,Nelson,Kentucky,21179,1,0
2020-03-18,Warren,Kentucky,21227,1,0
2020-03-19,Bourbon,Kentucky,21017,2,1
2020-03-19,Christian,Kentucky,21047,1,0
2020-03-19,Clark,Kentucky,21049,2,0
2020-03-19,Daviess,Kentucky,21059,1,0
2020-03-19,Fayette,Kentucky,21067,7,0
2020-03-19,Franklin,Kentucky,21073,1,0
2020-03-19,Harrison,Kentucky,21097,9,0
2020-03-19,Henderson,Kentucky,21101,1,0
2020-03-19,Jefferson,Kentucky,21111,14,1
2020-03-19,Kenton,Kentucky,21117,1,0
2020-03-19,Lyon,Kentucky,21143,1,0
2020-03-19,Montgomery,Kentucky,21173,2,0
2020-03-19,Nelson,Kentucky,21179,1,0
2020-03-19,Pulaski,Kentucky,21199,1,0
2020-03-19,Scott,Kentucky,21209,1,0
2020-03-19,Unknown,Kentucky,,1,0
2020-03-19,Warren,Kentucky,21227,1,0
2020-03-20,Bourbon,Kentucky,21017,2,1
2020-03-20,Calloway,Kentucky,21035,1,0
2020-03-20,Christian,Kentucky,21047,1,0
2020-03-20,Clark,Kentucky,21049,2,0
2020-03-20,Daviess,Kentucky,21059,1,0
2020-03-20,Fayette,Kentucky,21067,10,0
2020-03-20,Franklin,Kentucky,21073,1,0
2020-03-20,Harrison,Kentucky,21097,9,0
2020-03-20,Henderson,Kentucky,21101,2,0
